title,album,year,lyrics,cover,songwriters_parsed,vocals_parsed
Lady Madonna,1967-1970,1968,"Lady Madonna, children at your feet. Wonder how you manage to make ends meet. Who finds the money? When you pay the rent? Did you think that money was heaven sent? Friday night arrives without a suitcase. Sunday morning creep in like a nun. Mondays child has learned to tie his bootlace. See how they run. Lady Madonna, baby at your breast. Wonder how you manage to feed the rest. See how they run. Lady Madonna, lying on the bed, Listen to the music playing in your head. Tuesday afternoon is never ending. Wednesday morning papers didn't come. Thursday night you stockings needed mending. See how they run. Lady Madonna, children at your feet. Wonder how you manage to make ends meet.",False,"[""Paul McCartney"", ""John Lennon""]","[""McCartney""]"
Leave My Kitten Alone,Anthology 1,1964,"You better leave my kitten all alone You better leave my kitten all alone But I told you big fat bulldog You better leave her alone You better leave my kitten all alone You better leave my kitten all alone This dog is gonna get you If you don't leave her alone Well Mr. Dog I'm gonna hit you On the top of your head That child is gonna miss you, You gonna wish that you were dead If you don't leave my kitten all alone Well I told you big fat bulldog You better leave her alone Alright Hey, hey, hey, hey Hey, hey, hey Hey hey Well Mr. Dog I'm gonna hit you On the top of your head That girl is gonna miss you You gonna wish that you were dead If you don't leave my kitten all alone, oh yeah Well I told you, big fat bulldog You better leave her alone Yeah hey you better leave, you better leave You better leave, yeah you better leave You better leave, oh you got to leave Hey hey, well I told you big fat bulldog (fade out)",True,"[""Little Willie John"", ""Titus Turner"", ""James McDougall""]","[""Lennon""]"
Lend Me Your Comb,Anthology 1,1963,"Lend me your comb It's time to go home I got to go past My hair is a mess Your mammie will scold Your pappie will shout Unless we come in The way we went out Kissing you was fun honey But thanks for the date But I must come to run honey But you know baby it's getting late Just wait till I say ""My darling Lend me your comb We got to go home"" Whoa! Ow! Kissing you was fun honey But thanks for the date But I must come to run, honey But sugar, it's getting late Just wait till I say ""My darling Lend me your comb We got to go home""",True,"[""Kay Twomey"", ""Fred Wise"", ""Ben Weisman""]","[""Lennon"", ""McCartney""]"
Let It Be,Let It Be,1969,"When i find myself in times of trouble Mother mary comes to me Speaking words of wisdom, let it be. And in my hour of darkness She is standing right in front of me Speaking words of wisdom, let it be. Let it be, let it be. Whisper words of wisdom, let it be. And when the broken hearted people Living in the world agree, There will be an answer, let it be. For though they may be parted there is Still a chance that they will see There will be an answer, let it be. Let it be, let it be. yeah There will be an answer, let it be. And when the night is cloudy, There is still a light that shines on me, Shine on until tomorrow, let it be. I wake up to the sound of music Mother mary comes to me Speaking words of wisdom, let it be. Let it be, let it be. There will be an answer, let it be. Let it be, let it be, Whisper words of wisdom, let it be.",False,"[""Paul McCartney""]","[""McCartney""]"
Like Dreamers Do,Anthology 1,1962,"I, I saw a girl in my dreams And so it seems that I will love her Oh you, you are that girl in my dreams And so it seems that I will love you And I waited for your kiss Waited for the bliss Like dreamers do And I, Oh I'll be there, yeah Waiting for you, you, you, you, you, you You, you came just one dream ago And now I know that I will love you Oh I knew when you first said hello That's how I know that I will love you And I waited for your kiss Waited for the bliss Like dreamers do And I Oh I'll be there, yeah Waiting for you, you, you, you, you You, you came just one dream ago And now I know that I will love you Oh I knew when you first said hello That's how I know that I will love you And I waited for your kiss Waited for the bliss Like dreamers do Oh like dreamers do Like dreamers do",False,"[""Paul McCartney""]","[""McCartney""]"
Little Child,With the Beatles,1963,"Little child, Little child, Little child Won't you dance with me? I'm so sad and lonely, Baby take a chance with me. If you want someone to make you feel so fine, Then we'll have some fun, when you're mine oh mine, So come on, come on, come on. Little child, Little child, Little child Won't you dance with me? I'm so sad and lonely, Baby take a chance with me. When you're by my side you're the only one Don't you run and hide, just come on, come on, So come on, come on, come on.",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon"", ""McCartney""]"
Lonesome Tears in My Eyes,Live at the BBC,1963,Oh baby baby baby Blues and sorrow And I love you tomorrow Just suit you just fine Oh baby baby baby Blues and sorrow And I love you tomorrow Just suit you just fine I can't forget that you told me So many promising lies How must I forget these Lonesome tears in my eyes? You've broken my heart Gonna do it again And I can't forget The spell that I'm in Can't forget that you told me So many promising lies I'm a-trying to forget these Lonesome tears in my eyes You've broken my heart Gonna do it again I can't forget The spell that I'm in I can't forget that you told me So many promising lies I'm a-trying to forget these Lonesome tears in my eyes Oh baby baby baby Blues and sorrow And I love you tomorrow It'll suit you just fine Oh baby baby baby Blues and sorrow I love you tomorrow Just suit you just fine I can't forget that you told me So many promising lies I'm a-trying to forget these Lonesome tears in my eyes,True,"[""Johnny Burnette"", ""Dorsey Burnette"", ""Paul Burlison"", ""Al Mortimer""]","[""Lennon""]"
The Long and Winding Road,Let It Be,1969,The long and winding road That leads to your door Will never disappear I've seen that road before It always leads me here Lead me to your door  The wild and windy night That the rain washed away Has left a pool of tears Crying for the day Why leave me standing here? Let me know the way  Many times I've been alone And many times I've cried Anyway you've never known The many ways I've tried  But still they lead me back To the long winding road You left me waiting here A long long time ago Don't leave me standing here Lead me to your door  But still they lead me back To the long winding road You left me standing here A long long time ago Don't keep me waiting here Lead me to your door,False,"[""Paul McCartney""]","[""McCartney""]"
"Long, Long, Long",The Beatles,1968,"It's been a long long long time How could I ever have lost you When I loved you It took a long long long time Now I'm so happy I found you How I love you So many tears I was searching So many tears I was wasting, oh oh Now I can see you, be you How can I ever misplace you How I want you Oh I love you Your know that I need you Ooh I love you Oh",False,"[""George Harrison""]","[""Harrison""]"
Long Tall Sally,Long Tall Sally EP,1964,"I'm gonna tell Aunt Mary about Uncle John He says he has the blues but he has a lotta fun Oh baby Yeeeeh baby Woooooh baby Having me some fun tonight I saw Uncle John with long tall Sally He saw Aunt Mary cumming and he ducked back in the alley Oh baby Yeeeeh baby Woooooh baby Having me some fun tonight Well long tall Sally built pretty sweet She got everything that Uncle John needs Oh baby Yeeeeh baby Woooooh baby Having me some fun tonight We're gonna have some fun tonight Have some fun tonight Everything's alright Have some fun tonight Have some fun, yea yea yea We're gonna have some fun tonight Have some fun tonight Everything's alright Have some fun tonight Have some fun Some fun tonight",True,"[""Robert Blackwell"", ""Enotris Johnson"", ""Little Richard""]","[""McCartney""]"
Looking Glass,,1962,,False,"[""Paul McCartney""]","[""Instrumental""]"
Love Me Do,Please Please Me,1962,"Love, love me do You know I love you I'll always be true So ple-e-e-ease Love me do Whoa-oh-oh love me do Love, love me do You know I love you I'll always be true So ple-e-e-ease Love me do Whoa-oh-oh love me do Someone to love (somebody new) Someone to love (someone like you) Love, love me do You know I love you I'll always be true So ple-e-e-ease Love me do Whoa-oh-oh love me do (heh) Interlude Love, love me do You know I love you I'll always be true So ple-e-e-ease Love me do Whoa-oh-oh love me do Yeah, love me do Whoa-oh-oh love me do (Fade out) Yeah, love me do...",False,"[""Paul McCartney"", ""John Lennon""]","[""McCartney"", ""Lennon""]"
Love of the Loved,,1962,"Each time I look into your eyes I see that there a heaven lies And as I look I see the love of the loved. Someday they'll see that from the start My place has been deep in your heart. And in your heart I see the love of the loved. Though I said it all before I will say it more and more, Now that I'm really sure You love me. And I know that from today I'll see it in the way That you look at me And say ah you love me. So let it rain, i'll never care? Deep in your heart, I'd still be there. And when I'm there I see the love of the loved. Though I said it all before I will say it more and more, Now that I'm really sure You love me. And I know that from today I'll see it in the way That you look at me And say ah you love me. So let it rain, i'll never I care? Deep in your heart, I'd still be there. And when I'm there I see the love of the loved. I see the love of the loved. I see the love of the loved.",False,"[""Paul McCartney"", ""John Lennon""]","[""McCartney""]"
Love You To,Revolver,1966,Each day just goes so fast I turn around - it's past You don't time to hang a sign on me Love me while you can Before I'm dead old man A lifetime is so short A new one can't be bought And what you've got means such a lot to me Make love all day long Make love singing songs There's people standing round Who screw you in the ground They'll fill your head with all the things you see I'll make love to you If you want me to,False,"[""George Harrison""]","[""Harrison""]"
Lovely Rita,Sgt. Pepper's Lonely Hearts Club Band,1967,"Lovely Rita meter maid, lovely Rita meter maid Lovely Rita meter maid, nothing can come between us When it gets dark I tow your heart away Standing by a parking meter when I caught a glimpse of Rita Filling in the ticket in her little white book. In the cap she looked much older And the bag across her shoulder Made her look a little like a military man. Lovely Rita meter maid, may I inquire discreetly, When you are free to take some tea with me Took her out and tried to win her, Had a laugh and over dinner Told her I would really like to see her again Got the bill and Rita paid it, Took her home and nearly made it Sitting on a sofa with a sister or two. Oh, lovely Rita meter maid, where would I be without you, Give us a wink and make me think of you",False,"[""Paul McCartney""]","[""McCartney""]"
Lucille,Live at the BBC,1963,"Lucille, Baby do your sister's will. Lucille, Baby do your sister's will. Well you went up and married But i love you still. Lucille, Baby satisfy my soul. Lucille, Baby satisfy my soul. Well you know i love baby, I'll never let you go. Well i woke up this morning, Lucille was not inside. I asked her friends about her, But all their lips were tight. Lucille, Please come back where you belong. Well i'm talking to you baby, I'll never put you on. Well lucille, Baby do your sister's will. Oo lucille, Yeah baby do your sister's will. Well you went up and married But i love you still.",True,"[""Little Richard"", ""Albert Collins""]","[""McCartney""]"
Lucy in the Sky with Diamonds,Sgt. Pepper's Lonely Hearts Club Band,1967,"Picture yourself in a boat on a river, With tangerine trees and marmalade skies Somebody calls you, you answer quite slowly, A girl with kaleidoscope eyes. Cellophane flowers of yellow and green, Towering over your head. Look for the girl with the sun in her eyes, And she's gone. Lucy in the sky with diamonds Lucy in the sky with diamonds Lucy in the sky with diamonds Ahh... Follow her down to a bridge by a fountain Where rocking horse people eat marshmellow pies, Everyone smiles as you drift past the flowers, That grow so incredibly high. Newspaper taxis appear on the shore, Waiting to take you away. Climb in the back with your head in the clouds, And you're gone. Lucy in the sky with diamonds Lucy in the sky with diamonds Lucy in the sky with diamonds Ahh... Picture yourself on a train in a station, With plasticine porters with looking glass ties, Suddenly someone is there at the turnstyle, The girl with the kaleidoscope eyes. Lucy in the sky with diamonds Lucy in the sky with diamonds Lucy in the sky with diamonds Ahh...",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon""]"
Madman,,1969,,False,"[""John Lennon""]","[""Lennon""]"
Maggie Mae,Let It Be,1969,"Oh dirty Maggie Mae they have taken her away And she never walk down Lime Street any more Oh the judge he guilty found her For robbing a homeward bounder That dirty no good robbin' Maggie Mae To the port of Liverpool They returned me to Two pounds ten a week, that was my pay",True,"[""John Lennon"", ""Paul McCartney"", ""George Harrison"", ""Ringo Starr""]","[""Lennon"", ""McCartney""]"
Magical Mystery Tour,Magical Mystery Tour,1967,"Roll up, roll up for the mystery tour. Roll up, roll up for the mystery tour. Roll up (and that's an invitation), roll up for the mystery tour. Roll up (to make a reservation), roll up for the mystery tour. The magical mystery tour is waiting to take you away, Waiting to take you away. Roll up, roll up for the mystery tour. Roll up, roll up for the mystery tour. Roll up (we've got everything you need), roll up for the mystery tour. Roll up (satisfaction guaranteed), roll up for the mystery tour. The magical mystery tour is hoping to take you away, Hoping to take you away. Roll up, roll up for the mystery tour. Roll up, roll up for the mystery tour. Roll up (and that's an invitation), roll up for the mystery tour. Roll up (to make a reservation), roll up for the mystery tour. The magical mystery tour is coming to take you away, Coming to take you away. The magical mystery tour is dying to take you away, Dying to take you away, take you away.",False,"[""Paul McCartney"", ""John Lennon""]","[""McCartney"", ""Lennon""]"
"Mailman, Bring Me No More Blues",Anthology 3,1969,"She wrote me only one sad night Told me she's no longer mine Sue sue mailman, that will do for sometime Mailman, bring me no more blues Mailman, bring me no more blues One more heartache is all I can use Mailman, bring me no more blues Mailman, bring me no more blues (fade out)",True,"[""Ruth Roberts"", ""Bill Katz"", ""Stanley Clayton""]","[""Lennon""]"
Martha My Dear,The Beatles,1968,"Martha my dear Though I spend my days in conversation, please Remember me, Martha my love Don't forget me Martha my dear  Hold your head up, you silly girl Look what you've done When you find yourself in the thick of it Help yourself to a bit of what is all around you, silly girl  Take a good look around you Take a good look and you're bound to see That you and me were meant to be For each other Silly girl  (instrumental)  Hold your hand out, you silly girl See what you've done When you find yourself in the thick of it Help yourself to bit of what is all around you, silly girl  Martha my dear, you have always been my inspiration, please Be good to me, Martha my love Don't forget me, Martha my dear",False,"[""Paul McCartney""]","[""McCartney""]"
Matchbox,"""Long Tall Sally"" EP",1964,"I said I'm sitting here watching Matchbox hole in my clothes I said I'm sitting here wondering Matchbox hole in my clothes I ain't got no matches but I sure Got a long way to go I'm an ole poor boy, and I'm a Long way from home I'm an ole poor boy, and I'm a Long way from home I'll never be happy cause everything I've Ever did was wrong Well, if you don't want my peaches honey Please don't shake my tree Well, if you don't want my peaches honey Please don't mess around my tree I got news for you baby Leave me here in misery Well, let me be your little dog Till your big dog comes Well, let me be your little dog Till your big dog comes And when your big dog gets here Watch how your puppy dog runs I said I'm sitting here watching Matchbox hole in my clothes I said I'm sitting here watching Matchbox hole in my clothes I ain't got no matches but I sure Got a long way to go",True,"[""Carl Perkins"", ""Blind Lemon Jefferson""]","[""Starr""]"
Maxwell's Silver Hammer,Abbey Road,1969,"Joan was quizzical; studied pataphysical Science in the home. Late nights all alone with a test tube. Oh, oh, oh, oh. Maxwell Edison, majoring in medicine, Calls her on the phone. ""Can I take you out to the pictures, Joa, oa, oa, oan? "" But as she's getting ready to go, A knock comes on the door. Bang! Bang! Maxwell's silver hammer Came down upon her head. Bang! Bang! Maxwell's silver hammer Made sure that she was dead. Back in school again Maxwell plays the fool again. Teacher gets annoyed. Wishing to avoid and unpleasant Sce, e, e, ene, She tells Max to stay when the class has gone away, So he waits behind Writing fifty times ""I must not be So, o, o, o.. "" But when she turns her back on the boy, He creeps up from behind. Bang! Bang! Maxwell's silver hammer Came down upon her head. Bang! Bang! Maxwell's silver hammer Made sure that she was dead. P. C. Thirty-one said, ""We caught a dirty one."" Maxwell stands alone Painting testimonial pictures. Oh, oh, oh, oh. Rose and Valerie, screaming from the gallery Say he must go free (Maxwell must go free) The judge does not agree and he tells them So, o, o, O. But as the words are leaving his lips, A noise comes from behind. Bang! Bang! Maxwell's silver hammer Came down upon his head. Bang! Bang! Maxwell's silver hammer Made sure that he was dead. Whoa, oh, oh, oh. Silver hammer man",False,"[""Paul McCartney""]","[""McCartney""]"
Mean Mr. Mustard,Abbey Road,1969,"Mean Mister Mustard sleeps in the park Shaves in the dark trying to save paper Sleeps in a hole in the road Saving up to buy some clothes Keeps a ten-bob note up his nose Such a mean old man Such a mean old man His sister Pam works in a shop She never stops, she's a go-getter Takes him out to look at the queen Only place that he's ever been Always shouts out something obscene Such a dirty old man Dirty old man",False,"[""John Lennon""]","[""Lennon"", ""McCartney""]"
"Memphis, Tennessee",Live at the BBC,1963,,True,"[""Chuck Berry""]","[""Lennon""]"
Michelle,Rubber Soul,1965,"Michelle, my belle. These are words that go together well, My Michelle. Michelle, my belle. Sont les mots qui vont tres bien ensemble, Tres bien ensemble. I love you, I love you, I love you. That's all I want to say. Until I find a way I will say the only words I know that You'll understand. Michelle, my belle. Sont les mots qui vont tres bien ensemble, Tres bien ensemble. I need to, I need to, I need to. I need to make you see, Oh, what you mean to me. Until I do I'm hoping you will Know what I mean. I love you. I want you, I want you, I want you. I think you know by now I'll get to you somehow. Until I do I'm telling you so You'll understand. Michelle, my belle. Sont les mots qui vont tres bien ensemble, Tres bien ensemble. I will say the only words I know that You'll understand, my michelle.",False,"[""Paul McCartney"", ""John Lennon""]","[""McCartney""]"
Misery,Please Please Me,1963,"The world is treating me bad misery. I'm the kind of guy, Who never used to cry, The world is treating me bad, misery. I've lost her now for sure, I won't see her no more, It's gonna be a drag in misery. I'll remember all the little things we've done Can't she see she'll always be the only one, only one. Send her back to me, 'Cause everyone can see Without her I will be in misery I'll remember all the little things we've done. She'll remember and she'll miss her only one, lonely one. Send her back to me, 'Cause everyone can see, Without her I will be in misery In misery, My misery,",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon"", ""McCartney""]"
Money (That's What I Want),With the Beatles,1963,,True,"[""Berry Gordy"", ""Janie Bradford""]","[""Lennon""]"
Moonlight Bay,Anthology 1,1963,"We were sailing along (Twist and shout) On Moonlight Bay (Ooh) We could hear the voices singing (I like it!) They seemed to say (Keep on, Bongo) You have borken my heart (Oh, twist and shout) So go away [Are the Beatles gone? No, they're here. Oh.] With you big, far, hairy legs On Moonlight Bay On Moonlight Bay Ooohhh Yeah! Ha ha!",False,"[""Percy Wenrich"", ""Edward Madden""]","[""Lennon"", ""McCartney"", ""Harrison"", ""Eric Morecambe"", ""Ernie Wise""]"
Mother Nature's Son,The Beatles,1968,"Born a poor young country boy, Mother Nature's son All day long I'm sitting singing songs for everyone Sit beside a mountain stream, see her waters rise Listen to the pretty sound of music as she flies Doo doo doo doo doo doo doo doo doo doo doo Doo doo doo doo doo doo doo doo doo Doo doo doo Find me in my field of grass, Mother Nature's son Swaying daises sing a lazy song beneath the sun Doo doo doo doo doo doo doo doo doo doo doo Doo doo doo doo doo doo doo doo doo Doo doo doo doo doo doo Yeah yeah yeah Mm mm mm mm mm mm mm Mm mm mm, ooh ooh ooh Mm mm mm mm mm mm mm Mm mm mm mm, wah wah wah Wah, Mother Nature's son",False,"[""Paul McCartney""]","[""McCartney""]"
Mr. Moonlight,Beatles for Sale,1964,"Mr. Moonlight... You came to me one summer night, And from your beam, you made my dream And from the world you sent my girl And from above you sent us love And now she is mine, I think you'll find That we love you Mr. Moonlight Mr. Moonlight, come again please Here I am, on my knees, begging if you please And the night you don't come my way I pray and pray more each day Cause we love you Mr. Moonlight And the night you don't come my way I pray and pray more each day Cause we love you Mr. Moonlight Mr. Moonlight come again please Here I am on my knees, begging if you please And the night you don't come my way I pray and pray more each day Cause we love you Mr. Moonlight Mr. Moonlight... Mr. Moonlight... Mr. Moonlight...",True,"[""Roy Lee Johnson""]","[""Lennon""]"
The Night Before,Help!,1965,"We said our goodbyes. (Ah.. the night before.) Love was in your eyes. (Ah.. the night before.) Now, today I find You have changed your mind. Treat me like you did the night before.  Were you tellin' lies? (Ah.. the night before.) Was I so unwise? (Ah.. the night before.) When I held you near, You were so sincere. Treat me like you did the night before.  Last night is a night I will remember you by. When I think of things we did, It makes me want to cry.  We said our goodbyes. (Ah.. the night before.) Love was in your eyes. (Ah.. the night before.) Now, today I find You have changed your mind. Treat me like you did the night before. Yes.  When I held you near, You were so sincere. Treat me like you did the night before.  Last night is a night I will remember you by. When I think of things we did, It makes me want to cry.  Were you tellin' lies? (Ah.. the night before.) Was I so unwise? (Ah.. the night before.) When I held you near, You were so sincere. Treat me like you did the night before. Like the night before.",False,"[""Paul McCartney""]","[""McCartney""]"
No Reply,Beatles for Sale,1964,"This happened once before, When I came to your door, No reply. They said it wasn't you, But I saw you peep through your window. I saw the light, I saw the light, I know that you saw me, Cause I looked up to see, Your face. I tried to telephone, They said you were not home, That's a lie, Cause I know where you've been, I saw you walk in your door. I nearly died, I nearly died, Cause you walked hand in hand With another man, In my place. If I were you, I'd realise that I, Love you more than any other guy. And I'll forgive the lies that I, Heard before, When you gave me no reply. I've tried to telephone, They said you were not home, That's a lie, Cause I know where you've been, I saw you walk in your door. I nearly died, I nearly died, Cause you walked hand in hand With another man in my place. No reply, no reply.",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon"", ""McCartney""]"
Norwegian Wood (This Bird Has Flown),Rubber Soul,1965,I once had a girl Or should I say She once had me  She showed me her room Isn't it good? Norwegian wood  She asked me to stay and she told me to sit anywhere So I looked around and I noticed there wasn't a chair  I sat on a rug Biding my time Drinking her wine  We talked until two And then she said It's time for bed  She told me she worked in the morning and started to laugh I told her I didn't and crawled off to sleep in the bath  And when I awoke I was alone This bird has flown  So I lit a fire Isn't it good? Norwegian wood,False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon""]"
Not a Second Time,With the Beatles,1963,"You know you've made me cry, I see no use in wondering why, I cried for you. And now you've changed your mind, I see no reason to change mine, My crying is through. You're giving me the same old line, I'm wondering why. You hurt me then, You're back again, No, no, no,not a second time.",False,"[""John Lennon""]","[""Lennon""]"
Not Guilty,Anthology 3,1968,"Not guilty For getting in your way, while you try to steal the day Not guilty I'm not nodding for the rest, I'm not trying to steal you vest I end up trying to be smart I only want what I can get I'm really sorry for your aging head, but like you heard me said Not guilty Though you signing me a writ, while I'm trying to do my bit I don't expect to take your hoard I only want what I can get I'm really sorry that you're underfed, but like you heard me said Not guilty Not guilty For looking like a freak, making friends with every Sikh Not guilty For leading you astray, on the road to Masalay I won't upset the apple cart I only want what I can get I'm really sorry that you've been mislead, but like you heard me said Not guilty",False,"[""George Harrison""]","[""Harrison""]"
Nothin' Shakin' (But the Leaves on the Trees),Live at the BBC,1963,,True,"[""Eddie Fontaine""]","[""Harrison""]"
Nowhere Man,Rubber Soul,1965,"He's a real nowhere Man, Sitting in his Nowhere Land, Making all his nowhere plans For nobody. Doesn't kave a point of view, Knows not where he's going to, Isn't he a bit like you and me? Nowhere Man, please listen, You don't know what you're missing, Nowhere Man, the world is at your command. He's as blind as he can be, Just sees what he wants to see, Nowhere Man can you see me at all? Doesn't kave a point of view, Knows not where he's going to, Isn't he a bit like you and me? Nowhere Man, don't worry, Take your time, don't hurry, Leave it all 'till somebody else Lends you a hand. He's a real Nowhere Man, Sitting in his Nowhere Land, Making all his nowhere plans For nobody.",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon"", ""McCartney"", ""Harrison""]"
"Ob-La-Di, Ob-La-Da",The Beatles,1968,"Desmond has a barrow in the market place Molly is the singer in a band Desmond says to Molly, Girl, I like your face And Molly says this as she takes him by the hand Ob-la-di, ob-la-da, life goes on bra! Lala, how the life goes on Ob-la-di, ob-la-da, life goes on bra! Lala, how the life goes on. Desmond takes a trolly to the jeweller's store Buys a twenty carat golden ring Takes it back to Molly waiting at the door And as he gives it to her she begins to sing Ob-la-di, ob-la-da, life goes on bra! Lala, how the life goes on Ob-la-di, ob-la-da, life goes on bra! Lala, how the life goes on. In a couple of years they have built A home sweet home With a couple of kids running in the yard Of Desmond and Molly Jones. Happy ever after in the market place Desmond lets the children lend a hand Molly stays at home and does his pretty face And in the evening she's a singer with the band. Ob-la-di, ob-la-da, life goes on bra! Lala, how the life goes on Ob-la-di, ob-la-da, life goes on bra! Lala, how the life goes on. In a couple of years they have built A home sweet home With a couple of kids running in the yard Of Desmond and Molly Jones. Happy ever after in the market place Molly lets the children lend a hand Desmond stays at home and does his pretty face And in the evening she's a singer with the band. Ob-la-di, ob-la-da, life goes on bra! Lala, how the life goes on Ob-la-di, ob-la-da, life goes on bra! Lala, how the life goes on. Well, if you want some fun, take ob-la-di-la-da",False,"[""Paul McCartney""]","[""McCartney""]"
Octopus's Garden,Abbey Road,1969,"(Starkey) I'd like to be under the sea In an octopus's garden in the shade He'd let us in, knows where we've been In his octopus's garden in the shade I'd ask my friends to come and see An octopus's garden with me I'd like to be under the sea In an octopus's garden in the shade We would be warm below the storm In our little hideaway beneath the waves Resting our head on the sea bed In an octopus's garden near a cave We would sing and dance around Because we know we can't be found I'd like to be under the sea In an octopus's garden in the shade We would shout and swim about The coral that lies beneath the ocean waves (Lies beneath the ocean waves) Oh what joy for every girl and boy Knowing they're happy and they're safe (Happy and they're safe) We would be so happy you and me No one there to tell us what to do I'd like to be under the sea In an octopus's garden with you In an octopus's garden with you In an octopus's garden with you",False,"[""Ringo Starr""]","[""Starr""]"
Oh! Darling,Abbey Road,1969,"Oh! Darling, please believe me I'll never do you no harm Believe me when I tell you I'll never do you no harm Oh! Darling, if you leave me I'll never make it alone Believe me when I beg you Don't ever leave me alone When you told me you didn't need me anymore Well you know I nearly broke down and cried When you told me you didn't need me anymore Well you know I nearly broke down and died Oh! Darling, if you leave me I'll never make it alone Believe me when I tell you I'll never do you no harm When you told me you didn't need me anymore Well you know I nearly broke down and cried When you told me you didn't need me anymore Well you know I nearly broke down and died Oh! Darling, please believe me I'll never let you down Believe me when I tell you I'll never do you no harm",False,"[""Paul McCartney""]","[""McCartney""]"
Old Brown Shoe,1967-1970,1969,"I want a love that's right but right is only half of what's wrong, I want a short haired girl who sometimes wears it twice as long. I'm stepping out this old brown shoe, Baby I'm in love with you, I'm so glad you cam here it won't be the same now I'm telling you. You know you pick me up from where some try to drag me down, And when I see your smile replacing ev'ry thoughtless frown, Got me escaping from this zoo, Baby I'm in love with you, I'm so glad you came here it won't be the same now I'm telling you. If I grow up I'll be a singer, Wearing rings on every finger, Not worrying what they or you say. I'll live and love and maybe some day, Who knows baby, You may comfort me. I may appear to be imperfect, My love is something you can't reject, I'm changing faster than the weather, If you and me should get together, Who knows baby You may comfort me. I want that love of yours To miss that love is something I'd hate, I'll make an early start I'm making sure that I'm not late, For your sweet top lip I'm in the queue, Baby I'm in love with you, I'm so glad you came here it won't be the same now when I'm with you. I'm so glad you came here it won't be the same now when I'm with you",False,"[""George Harrison""]","[""Harrison""]"
One After 909,Let It Be,1969,"My baby says she's trav'ling on the one after 909 I said move over honey I'm travelling on that line I said move over once, move over twice Come on baby don't be cold as ice I said I'm trav'ling on the one after 909  I begged her not to go and I begged her on my bended knee You're only fooling around, you're fooling around with me I said move over once, move over twice Come on baby don't be cold as ice I said I'm trav'ling on the one after 909  They've got my bag, run to the station Railman says: You've got the the wrong location They've got my bag, run right home Then I find I've got the number wrong  Well I said I'm trav'ling on the one after 909 I said move over honey I'm travelling on that line I said move over once, move over twice Come on baby don't be cold as ice I said I'm trav'ling on the one after 909  They've got my bag, run to the station Railman says: You've got the the wrong location They've got my bag, run right home Then I find I've got the number wrong  Well I said I'm trav'ling on the one after 909 I said move over honey I'm travelling on that line I said move over once, move over twice Come on baby don't be cold as ice I said we're trav'ling on the one after 90 I said we're trav'ling on the one after 90 I said we're trav'ling on the one after 909  (Oh Danny Boy, the old summer is calling)",False,"[""John Lennon""]","[""Lennon"", ""McCartney""]"
One and One Is Two,,1964,"One and one is two What am I to do Now that I'm in love with you. I'm hoping every day I'm gonna hear you say. You really make my dreams come true.  Can't you feel, when I'm holding you near All the things I do Show my love and I'm making it clear One and one is two  One and one is two What am I to do Now that I'm in love with you. I'm hoping every day I'm gonna hear you say. You really make my dreams come true.  Can't you see, I loved you from the start Don't you love me too? I love you, but you're breaking my heart From wanting you  One and one is two What am I to do Now that I'm in love with you. I'm hoping every day I'm gonna hear you say. You really make my dreams come true.  If you say that you're gonna be mine Everything's alright All the world would look so fine.  One and one is two What am I to do Now that I'm in love with you. I'm hoping every day I'm gonna hear you say. You're really make my dreams You're really make my dreams You're really make my dreams come true.",False,"[""Paul McCartney""]","[""McCartney""]"
Only a Northern Song,Yellow Submarine,1967,"If you're listening to this song, You may think the cords are going wrong. But they're not We just wrote it like that  When you're listening late at night, You may think the bands are not quite right, But they are, They just play it like that  It doesn't really matter what chords I play, What words I say, Or time of day it is As it's only a northern song  *music*  It doesn't really matter what clothes I wear, Or how I pur Or if my hair is brown When it's only a northern song  If you think the harmony Is a little dark and out of key, You're correct, There's nobody there  And it told you there's no one there  *music*  Adicionar à playlist",False,"[""George Harrison""]","[""Harrison""]"
Ooh! My Soul,Live at the BBC,1963,,True,"[""Little Richard""]","[""McCartney""]"
Paperback Writer,A Collection of Beatles Oldies,1966,"Paperback writer Writer, writer Dear, sir or madam, will you read my book? It took me years to write, will you take a look? It's based on a novel by a man named Lear And I need a job, so I want to be a paperback writer  Paperback writer!  It's a dirty story of a dirty man And his clinging wife doesn't understand His son is working for the Daily Mail It's a steady job, but he wants to be a paperback writer  Paperback writer!  Paperback writer Writer, writer  It's a thousand pages, give or take a few I'll be writing more in a week or two I can make it longer if you like the style I can change it 'round, but I want to be a paperback writer  Paperback writer!  If you really like it, you can have the right You can make a million for you overnight If you must return it, you can send here But I need a break, and I want to be a paperback writer  Paperback writer!  Paperback writer Writer, writer  Paperback writer Paperback writer Paperback writer Paperback writer  Adicionar à playlist",False,"[""Paul McCartney""]","[""McCartney""]"
